id,name,host_is_superhost,neighbourhood_cleansed,latitude,longitude,room_type,price,weekly_price,monthly_price,number_of_reviews,first_review,review_scores_rating,first_year
31380234,"♥ Enjoy Mag Mile, Millennium Park & Cloud Gate ♥",0.0,Loop,41.8857,-87.63129,Entire home/apt,400.0,2807.6923076923076,12166.666666666666,2,2019-03-14,90.0,2019
31380957,"Steps to the Loop,  Millennium Park & Cloud Gate",0.0,Loop,41.87879,-87.62434,Entire home/apt,400.0,2807.6923076923076,12166.666666666666,3,2019-03-01,100.0,2019
31382100,Spacious Private Room In Old Town,0.0,Near North Side,41.90954,-87.62924,Entire home/apt,90.0,631.7307692307693,2737.5,4,2019-02-17,93.0,2019
31383206,Horizon Suite walk to West Loop | by Cloud9,0.0,Near West Side,41.88517,-87.64287,Entire home/apt,500.0,3509.6153846153848,15208.333333333334,1,2019-04-14,100.0,2019
31383462,Beatles room w/ En Suite bathroom in Logan Square!,1.0,Logan Square,41.9262,-87.69705,Private room,50.0,350.96153846153845,1520.8333333333333,20,2019-02-16,100.0,2019
31384719,Cozy & Comfortable 2BR in Heart of Humboldt Park,0.0,West Town,41.90202,-87.69052,Entire home/apt,58.0,407.11538461538464,1764.1666666666667,2,2019-02-25,100.0,2019
31393975,Stylish Duplex in Lakeview / Boystown 180mbps,1.0,Lake View,41.93848,-87.6467,Entire home/apt,199.0,1396.826923076923,6052.916666666667,16,2019-01-16,98.0,2019
31394586,Discounted Rate! 5 Min Walk To Metro!,1.0,Jefferson Park,41.97152,-87.76559,Private room,42.0,294.8076923076923,1277.5,2,2019-04-21,100.0,2019
31404552,6min Walk to Magnificent Mile & Chicago Downtown ✓,0.0,Loop,41.87823,-87.62371,Entire home/apt,400.0,2807.6923076923076,12166.666666666666,2,2019-03-18,70.0,2019
31408729,ROOM BLUE BY EL AND LAKE CLOSE HOSPITALS,0.0,Edgewater,41.99111,-87.65924,Private room,30.0,210.57692307692307,912.5,1,2019-05-17,100.0,2019
31433952,Updated & Spacious Albany Park 4BR w/ 2-Car Garage,0.0,Albany Park,41.96806,-87.72069,Entire home/apt,129.0,905.4807692307693,3923.75,5,2019-03-03,96.0,2019
31435064,Ukrainian Village 2BR Loft No.2 by Zencity,0.0,West Town,41.90094,-87.69296,Entire home/apt,41.0,287.78846153846155,1247.0833333333333,21,2019-01-23,90.0,2019
31435885,Newly Renovated 5BR Near Jackson Park & Metra Line,0.0,Woodlawn,41.77579,-87.59284,Entire home/apt,239.0,1677.5961538461538,7269.583333333333,3,2019-02-11,87.0,2019
31441091,"Clean, cozy, and convenient- Old Town/AmpleParking",1.0,Lincoln Park,41.91386,-87.63917,Entire home/apt,215.0,1509.1346153846155,6539.583333333333,2,2019-04-14,90.0,2019
31443658,Gorgeous Humboldt Park Flat,0.0,Humboldt Park,41.90166,-87.70863,Entire home/apt,70.0,491.34615384615387,2129.1666666666665,4,2019-01-27,100.0,2019
31447337,Stylish  & spacious 2 bedroom - Great location!,0.0,Edgewater,41.9944,-87.66884,Entire home/apt,90.0,631.7307692307693,2737.5,11,2019-03-04,100.0,2019
31452819,"Huge TV, Huge Bed & Huge Fun in The Loop! ♥",0.0,Loop,41.88442,-87.6268,Entire home/apt,400.0,2807.6923076923076,12166.666666666666,4,2019-02-28,100.0,2019
31463100,Edgewater Condo Blocks From The Beach,0.0,Edgewater,41.99215,-87.65626,Entire home/apt,150.0,1052.8846153846155,4562.5,2,2019-03-17,100.0,2019
31463781,Gorgeous 3 Bedroom home in amazing location!,1.0,Lake View,41.95168,-87.65505,Entire home/apt,400.0,2807.6923076923076,12166.666666666666,3,2019-04-16,100.0,2019
31464544,M3: LUXURY APT • STUDENTS • LONG TERM,1.0,Lower West Side,41.85917,-87.66178,Entire home/apt,74.0,519.4230769230769,2250.8333333333335,1,2019-01-27,100.0,2019
31465663,MX: LUXURY UNIT • STUDENTS • LONG TERM,1.0,Lower West Side,41.85918,-87.66202,Private room,23.0,161.44230769230768,699.5833333333334,2,2019-03-12,100.0,2019
31481945,LnclnPk/DePaul-3Bd 2Full Bth-1car prking-Sleeps 7,0.0,Lincoln Park,41.91862,-87.6591,Entire home/apt,187.0,1312.5961538461538,5687.916666666667,3,2019-03-17,93.0,2019
31490594,Hyde Park Getaway,1.0,Kenwood,41.80353,-87.6059,Entire home/apt,100.0,701.9230769230769,3041.6666666666665,6,2019-03-05,93.0,2019
31490616,University Retreat,0.0,Woodlawn,41.78257,-87.59982,Entire home/apt,80.0,561.5384615384615,2433.3333333333335,17,2019-03-03,94.0,2019
31490631,WA: LUXURY UNIT • STUDENTS • $1995 MONTHLY,1.0,Near West Side,41.8829,-87.68386,Private room,31.0,217.59615384615384,942.9166666666666,1,2019-05-01,100.0,2019
31512539,Classic Chicago 2-Flat Living Newly Renovated,0.0,Edgewater,41.98351,-87.66715,Entire home/apt,129.0,905.4807692307693,3923.75,9,2019-01-23,100.0,2019
31515060,Prince’s Quarters,0.0,Austin,41.88423,-87.76701,Private room,50.0,350.96153846153845,1520.8333333333333,1,2019-05-11,100.0,2019
31516487,Modern Loft Steps From McCormick,1.0,Near South Side,41.8547,-87.62346,Entire home/apt,99.0,694.9038461538462,3011.25,13,2019-01-21,100.0,2019
